ID Number,Students,Age,Gender,Country,Nationality,Semester,Date,long,lat
5698,Student121,22,Male,Spain,EU,September,20/09/2015,-3.74922,40.463669
5698,Student222,25,Male,Algeria,NONEU,September,20/09/2015,1.659626,28.033886
5512,Student223,21,Male,Portugal,EU,September,20/09/2015,-8.224454,39.399872
3657,Student224,26,Female,Germany,EU,September,20/09/2015,10.451526,51.165691
3615,Student225,30,Male,Spain,EU,September,20/09/2015,-3.74922,40.463669
3203,Student226,28,Male,Bolivia,NONEU,February,20/02/2016,-63.588654,-16.290154
3697,Student277,29,Female,Ecuador,NONEU,February,20/02/2016,-78.183403,-1.831239
3056,Student228,24,Female,Cameroon,NONEU,February,20/02/2016,12.354722,7.369722
3025,Student229,27,Male,Chile,NONEU,September,20/09/2015,-71.542969,-35.675148
1790,Student230,23,Male,Croatia,EU,September,20/09/2015,15.955031,45.824254
1237,Student311,22,Female,Colombia,NONEU,September,20/09/2015,-74.297333,4.570868
1596,Student322,26,Male,Iran,NONEU,September,20/09/2015,53.688046,32.42791
1583,Student323,33,Male,Italy,EU,September,20/09/2015,12.56738,41.871941
9987,Student344,25,Female,Spain,EU,September,20/09/2015,-3.74922,40.463669
9635,Student325,24,Male,Spain,EU,September,20/09/2015,-3.74922,40.463669
9842,Student368,26,Male,Brazil,NONEU,September,20/09/2015,-54.46125,-13.97405
8546,Student327,28,Male,Spain,EU,September,20/09/2015,-3.74922,40.463669
